symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	curation_confidence	pathway_depth_rank	pathway_depth_scaled	is_upstream_core	is_checkpoint_layer	is_downstream_diversification	is_substrate_support	checkpoint_proximity	ost_or_lbo_core_member	er_quality_control_member	catastrophic_potential_prior	branching_role	terminal_modification_role	interface_layer_prior	glycan_output_layer	regulatory_or_trans_layer_candidate	has_paralog_family	paralog_family_name	redundancy_prior	low_specificity_terminal_enzyme	graph_in_degree_primary_reaction	graph_out_degree_primary_reaction	graph_total_degree_primary_reaction	graph_betweenness_primary_reaction	graph_closeness_primary_reaction	graph_component_id_primary_reaction	architecture_version	architecture_notes
HK1	ENSG00000156515	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_1	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
MPI	ENSG00000178802	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_2	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast
PMM1	ENSG00000100417	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	PMM	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_3	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned PMM paralog-family prior from symbol prefix
PMM2	ENSG00000140650	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	PMM	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_4	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; assigned PMM paralog-family prior from symbol prefix
GMPPA	ENSG00000144591	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	GMP	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_5	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned GMP paralog-family prior from symbol prefix
GMPPB	ENSG00000173540	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	GMP	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_6	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; assigned GMP paralog-family prior from symbol prefix
DPM1	ENSG00000000419	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	DPM	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_7	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; assigned DPM paralog-family prior from symbol prefix
DPM2	ENSG00000136908	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	DPM	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_8	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; assigned DPM paralog-family prior from symbol prefix
DPM3	ENSG00000179085	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	DPM	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_9	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; assigned DPM paralog-family prior from symbol prefix
DOLK	ENSG00000175283	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_10	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast
DOLPP1	ENSG00000167130	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_11	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
DHDDS	ENSG00000117682	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_12	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
NUS1	ENSG00000153989	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_13	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
SRD5A3	ENSG00000128039	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_14	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast
MPDU1	ENSG00000129255	substrate_biosynthesis	substrate_support	no	yes	high	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_15	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast
PGM3	ENSG00000013375	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_16	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
UAP1	ENSG00000117143	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_17	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
GFPT1	ENSG00000198380	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	GFPT	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_18	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned GFPT paralog-family prior from symbol prefix
GFPT2	ENSG00000131459	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	GFPT	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_19	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned GFPT paralog-family prior from symbol prefix
GNPNAT1	ENSG00000100522	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_20	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
NAGK	ENSG00000124357	substrate_biosynthesis	substrate_support	no	yes	low	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_21	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; low-confidence pathway label pending cross-check
GNE	ENSG00000159921	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_22	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
