symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	cdg_curated_status	cdg_subtype	mendelian_disease_status	mode_of_inheritance	severe_mendelian_burden	clinvar_plp_variant_count	clinvar_plp_condition_count	clinvar_evidence_status	gwas_association_count	gwas_trait_category_count	glycome_trait_flag	immune_inflammation_trait_flag	infection_trait_flag	cancer_trait_flag	tissue_identity_trait_flag	complex_trait_evidence_status	disease_architecture_class	evidence_confidence	disease_annotation_version	disease_annotation_source	disease_annotation_source_url	disease_annotation_access_date	disease_annotation_notes
HK1	ENSG00000156515	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	35	14	plp_variants_present	317	6	yes	yes	yes	yes	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 35 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 317 association(s), 95 mapped trait(s), categories cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
MPI	ENSG00000178802	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	MPI-CDG (CDG-Ib)	curated_cdg_mendelian_evidence	AR	moderate	113	2	plp_variants_present	36	2	no	yes	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype MPI-CDG (CDG-Ib); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 113 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 36 association(s), 18 mapped trait(s), categories immune_inflammation;metabolism, accessed 2026-06-03.
PMM1	ENSG00000100417	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	1	1	plp_variants_present	17	3	no	yes	no	yes	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 1 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 17 association(s), 14 mapped trait(s), categories cancer;immune_inflammation;metabolism, accessed 2026-06-03.
PMM2	ENSG00000140650	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	PMM2-CDG (CDG-Ia)	curated_cdg_mendelian_evidence	AR	high	209	15	plp_variants_present	15	3	no	yes	no	yes	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype PMM2-CDG (CDG-Ia); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 209 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 15 association(s), 11 mapped trait(s), categories cancer;immune_inflammation;metabolism, accessed 2026-06-03.
GMPPA	ENSG00000144591	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	GMPPA-CDG	curated_cdg_mendelian_evidence	AR	moderate	16	4	plp_variants_present	2	1	no	no	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype GMPPA-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 16 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 2 association(s), 2 mapped trait(s), categories metabolism, accessed 2026-06-03.
GMPPB	ENSG00000173540	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	58	19	plp_variants_present	16	2	no	yes	no	no	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 58 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 16 association(s), 15 mapped trait(s), categories immune_inflammation;tissue_identity, accessed 2026-06-03.
DPM1	ENSG00000000419	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	DPM1-CDG (CDG-Ie)	curated_cdg_mendelian_evidence	AR	high	25	4	plp_variants_present	13	2	no	no	no	yes	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype DPM1-CDG (CDG-Ie); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 25 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 13 association(s), 7 mapped trait(s), categories cancer;metabolism, accessed 2026-06-03.
DPM2	ENSG00000136908	substrate_biosynthesis	substrate_support	no	yes	overlapping_or_multiple_pathway_cdg_gene	DPM2-CDG	curated_cdg_mendelian_evidence	AR	high	9	1	plp_variants_present	4	0	no	no	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	overlapping or multiple pathway cdg gene; subtype DPM2-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 9 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 4 association(s), 3 mapped trait(s), categories none, accessed 2026-06-03.
DPM3	ENSG00000179085	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	DPM3-CDG (CDG-Io)	curated_cdg_mendelian_evidence	AR	moderate	12	2	plp_variants_present	34	4	no	yes	no	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype DPM3-CDG (CDG-Io); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 12 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 34 association(s), 16 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
DOLK	ENSG00000175283	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	DOLK-CDG (CDG-Im)	curated_cdg_mendelian_evidence	AR	high	14	2	plp_variants_present	3	2	no	no	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype DOLK-CDG (CDG-Im); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 14 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 3 association(s), 3 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
