symbol	ensembl_gene_id_repo	constraint_ensembl_gene_id	constraint_symbol	constraint_metric_available	join_status	join_notes
HK1	ENSG00000156515	ENSG00000156515	HK1	yes	matched_ensembl_symbol	
MPI	ENSG00000178802	ENSG00000178802	MPI	yes	matched_ensembl_symbol	
PMM1	ENSG00000100417	ENSG00000100417	PMM1	yes	matched_ensembl_symbol	
PMM2	ENSG00000140650	ENSG00000140650	PMM2	yes	matched_ensembl_symbol	
GMPPA	ENSG00000144591	ENSG00000144591	GMPPA	yes	matched_ensembl_symbol	
GMPPB	ENSG00000173540	ENSG00000173540	GMPPB	yes	matched_ensembl_symbol	
DPM1	ENSG00000000419	ENSG00000000419	DPM1	yes	matched_ensembl_symbol	
DPM2	ENSG00000136908	ENSG00000136908	DPM2	yes	matched_ensembl_symbol	
DPM3	ENSG00000179085	ENSG00000179085	DPM3	yes	matched_ensembl_symbol	
DOLK	ENSG00000175283	ENSG00000175283	DOLK	yes	matched_ensembl_symbol	
DOLPP1	ENSG00000167130	ENSG00000167130	DOLPP1	yes	matched_ensembl_symbol	
DHDDS	ENSG00000117682	ENSG00000117682	DHDDS	yes	matched_ensembl_symbol	
NUS1	ENSG00000153989	ENSG00000153989	NUS1	yes	matched_ensembl_symbol	
SRD5A3	ENSG00000128039	ENSG00000128039	SRD5A3	yes	matched_ensembl_symbol	
MPDU1	ENSG00000129255	ENSG00000129255	MPDU1	yes	matched_ensembl_symbol	
PGM3	ENSG00000013375	ENSG00000013375	PGM3	yes	matched_ensembl_symbol	
UAP1	ENSG00000117143	ENSG00000117143	UAP1	yes	matched_ensembl_symbol	
GFPT1	ENSG00000198380	ENSG00000198380	GFPT1	yes	matched_ensembl_symbol	
GFPT2	ENSG00000131459	ENSG00000131459	GFPT2	yes	matched_ensembl_symbol	
GNPNAT1	ENSG00000100522			no	missing_constraint	No constraint metrics matched by Ensembl gene ID.
NAGK	ENSG00000124357	ENSG00000124357	NAGK	yes	matched_ensembl_symbol	
GNE	ENSG00000159921	ENSG00000159921	GNE	yes	matched_ensembl_symbol	
NANS	ENSG00000095380	ENSG00000095380	NANS	yes	matched_ensembl_symbol	
NANP	ENSG00000170191	ENSG00000170191	NANP	yes	matched_ensembl_symbol	
CMAS	ENSG00000111726	ENSG00000111726	CMAS	yes	matched_ensembl_symbol	
SLC35A1	ENSG00000164414	ENSG00000164414	SLC35A1	yes	matched_ensembl_symbol	
GMDS	ENSG00000112699	ENSG00000112699	GMDS	yes	matched_ensembl_symbol	
FPGT	ENSG00000254685	ENSG00000254685	FPGT	yes	matched_ensembl_symbol	
FCSK	ENSG00000157353	ENSG00000157353	FCSK	yes	matched_ensembl_symbol	
SLC35C1	ENSG00000181830	ENSG00000181830	SLC35C1	yes	matched_ensembl_symbol	
