symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
B4GALNT2	reported_gene	no	no	yes	no	GCST010002	32231278	Hysi PG	2020-03-30	Refractive error	Abnormality of refraction		B4GALNT2, GNGT2, ABI3, PHOSPHO1, ZNF652, PHB	GNGT2	1e-44
B4GALNT2	reported_gene;mapped_gene	no	no	yes	yes	GCST90002394	32888494	Vuckovic D	2020-09-01	Monocyte percentage of white cells	monocyte percentage of leukocytes	immune_inflammation	B4GALNT2	B4GALNT2	4e-11
B4GALNT2	reported_gene;mapped_gene	no	no	yes	yes	GCST006291	29808027	Tedja MS	2018-05-28	Spherical equivalent or myopia (age of diagnosis)	refractive error, age at onset, Myopia		B4GALNT2, TRNA_Gln	B4GALNT2 - GNGT2	3e-10
B4GALNT2	reported_gene	no	yes	yes	no	GCST001942	23535732	Eeles RA	2013-04-01	Prostate cancer	prostate carcinoma	cancer	NGFR, PHB, PHOSPHO1, HOXB13, PRAC, SPOP, ZNF652, ABI3, B4GALNT2, FLJ40194, GNGT2, IGF2BP1	FLJ40194	2e-09
B4GALNT2	reported_gene;mapped_gene	no	no	yes	yes	GCST005194	29212778	van der Harst P	2017-12-06	Coronary artery disease	coronary artery disorder		B4GALNT2	B4GALNT2	4e-09
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471009	39789286	Loya H	2025-01-09	UMOD protein levels	uromodulin measurement	metabolism		B4GALNT2	9e-237
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471009	39789286	Loya H	2025-01-09	UMOD protein levels	uromodulin measurement	metabolism		B4GALNT2	7e-208
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		B4GALNT2	5e-143
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		B4GALNT2	2e-137
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471009	39789286	Loya H	2025-01-09	UMOD protein levels	uromodulin measurement	metabolism		B4GALNT2	3e-94
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469141	39789286	Loya H	2025-01-09	ERBB4 protein levels	receptor tyrosine-protein kinase erbb-4 measurement	metabolism		B4GALNT2	7e-58
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470026	39789286	Loya H	2025-01-09	NELL1 protein levels	protein kinase C-binding protein NELL1 measurement	metabolism		B4GALNT2 - GNGT2	9.999999999999999e-57
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469141	39789286	Loya H	2025-01-09	ERBB4 protein levels	receptor tyrosine-protein kinase erbb-4 measurement	metabolism		B4GALNT2	3e-51
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470026	39789286	Loya H	2025-01-09	NELL1 protein levels	protein kinase C-binding protein NELL1 measurement	metabolism		B4GALNT2	3e-45
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468970	39789286	Loya H	2025-01-09	DDR1 protein levels	epithelial discoidin domain-containing receptor 1 measurement	metabolism;tissue_identity		B4GALNT2	2e-41
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468507	39789286	Loya H	2025-01-09	CA12 protein levels	level of carbonic anhydrase 12 in blood serum	metabolism		B4GALNT2 - GNGT2	2e-37
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469829	39789286	Loya H	2025-01-09	LYPD8 protein levels	level of Ly6/PLAUR domain-containing protein 8 in blood serum	metabolism		B4GALNT2	6e-35
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470026	39789286	Loya H	2025-01-09	NELL1 protein levels	protein kinase C-binding protein NELL1 measurement	metabolism		B4GALNT2	2.0000000000000003e-34
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2	1.9999999999999998e-32
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		B4GALNT2P1 - B4GALNT2	1.0000000000000001e-28
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468970	39789286	Loya H	2025-01-09	DDR1 protein levels	epithelial discoidin domain-containing receptor 1 measurement	metabolism;tissue_identity		B4GALNT2	2e-27
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2 - GNGT2	5e-24
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470798	39789286	Loya H	2025-01-09	TACSTD2 protein levels	tumor-associated calcium signal transducer 2 measurement	cancer;metabolism		B4GALNT2	1e-22
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2	2e-22
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468515	39789286	Loya H	2025-01-09	CA6 protein levels	carbonic anhydrase 6 measurement	metabolism		B4GALNT2	3e-19
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468507	39789286	Loya H	2025-01-09	CA12 protein levels	level of carbonic anhydrase 12 in blood serum	metabolism		B4GALNT2	3e-17
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469829	39789286	Loya H	2025-01-09	LYPD8 protein levels	level of Ly6/PLAUR domain-containing protein 8 in blood serum	metabolism		B4GALNT2	3e-17
