symbol	gwas_association_count	gwas_study_count	gwas_pubmed_count	gwas_trait_category_count	gwas_mapped_trait_count	gwas_min_p_value	gwas_trait_categories	gwas_mapped_trait_examples	gwas_catalog_release	gwas_catalog_source_url	gwas_catalog_access_date
ALG1	14	10	8	3	10	2e-73	cancer;metabolism;tissue_identity	PHF-tau measurement; amino acid measurement; blood protein amount; malate measurement; n-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase measurement; neurofibrillary tangles measurement; phospholipid level; probable serine carboxypeptidase CPVL measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG10	26	18	11	2	9	5e-66	immune_inflammation;metabolism	alcohol dependence; chronotype measurement; erythrocyte count; heart rate response to exercise; heart rate response to recovery post exercise; leptin measurement; methadone dose measurement; triglyceride measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG10B	38	26	23	2	23	2e-43	metabolism;tissue_identity	IGF-1 measurement; alcohol consumption quality; atypical femoral fracture; body mass index; chronotype measurement; circadian rhythm; daytime rest measurement; drug-induced liver injury	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG11	3	3	3	1	3	6e-10	immune_inflammation	Red cell distribution width; blood immunoglobulin amount; inflammatory bowel disease	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG12	13	13	9	3	10	4e-51	cancer;immune_inflammation;metabolism	acne; hip; level of protein disulfide isomerase CRELD2 in blood; memory performance; osteoarthritis; platelet component distribution width; platelet count; platelet volume	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG13	5	5	4	2	5	5e-17	immune_inflammation;tissue_identity	adolescent idiopathic scoliosis; rosacea severity measurement; rotator cuff syndrome; sex hormone-binding globulin measurement; shoulder impingement syndrome	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG14	27	24	16	3	18	2e-18	immune_inflammation;infection;metabolism	Stuttering; Tourette syndrome; adolescent idiopathic scoliosis; bipolar disorder; blood protein amount; environmental exposure measurement; fatty acid amount; gut microbiome measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG2	4	4	4	2	4	6e-12	immune_inflammation;infection	asthma; callous-unemotional behaviour; gestational age; parental genotype effect measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG3	3	3	3	3	3	4e-24	cancer;infection;metabolism	body height; glioma pathogenesis-related protein 1 measurement; major depressive disorder	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG5	1	1	1	0	1	2e-07		interleukin 10 measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
