gene	total_hits	glycan_hits	immune_hits	other_hits	glycan_or_immune_hits	group
FUT8	221	171	10	40	181	downstream
ST3GAL4	1045	14	118	913	132	downstream
MGAT3	152	81	5	66	86	downstream
ST6GAL1	238	67	12	159	79	downstream
B4GALT1	175	45	8	122	53	downstream
FUT3	174	42	4	128	46	downstream
MGAT5	191	16	23	152	39	downstream
CANX	25	0	20	5	20	downstream
ST8SIA3	39	0	9	30	9	downstream
MLEC	25	0	5	20	5	downstream
SEL1L	11	0	5	6	5	downstream
OS9	17	0	5	12	5	downstream
MGAT4B	9	0	5	4	5	downstream
B4GALNT2	61	0	4	57	4	downstream
EDEM3	107	0	4	103	4	downstream
B4GALT6	14	3	0	11	3	downstream
MAN1A2	40	0	3	37	3	downstream
MAN1A1	78	0	2	76	2	downstream
UGGT2	24	0	2	22	2	downstream
EDEM2	89	0	2	87	2	downstream
MAN1C1	19	0	1	18	1	downstream
MAN2A2	7	1	0	6	1	downstream
B4GALT2	5	1	0	4	1	downstream
ST8SIA2	8	0	1	7	1	downstream
B4GALT5	13	0	1	12	1	downstream
MAN1B1	9	0	1	8	1	downstream
CALR	13	0	1	12	1	downstream
PRKCSH	3	0	0	3	0	downstream
UGGT1	12	0	0	12	0	downstream
ST8SIA6	38	0	0	38	0	downstream
B4GALT3	1	0	0	1	0	downstream
B4GALT4	1	0	0	1	0	downstream
GANAB	19	0	0	19	0	downstream
PDIA3	10	0	0	10	0	downstream
CHST8	10	0	0	10	0	downstream
MGAT4C	25	0	0	25	0	downstream
EDEM1	5	0	0	5	0	downstream
MGAT4A	5	0	0	5	0	downstream
MGAT1	27	0	0	27	0	downstream
MAN2A1	29	0	0	29	0	downstream
ENGASE	6	0	0	6	0	downstream
CHST10	10	0	0	10	0	downstream
ALG1	6	0	0	6	0	upstream
ALG10	7	0	0	7	0	upstream
ALG10B	23	0	0	23	0	upstream
ALG11	2	0	1	1	1	upstream
ALG12	10	0	7	3	7	upstream
ALG13	2	0	0	2	0	upstream
ALG14	20	0	0	20	0	upstream
ALG3	2	0	0	2	0	upstream
ALG6	4	0	0	4	0	upstream
ALG8	4	0	0	4	0	upstream
ALG9	57	0	4	53	4	upstream
CMAS	5	0	0	5	0	upstream
DAD1	5	0	0	5	0	upstream
DDOST	3	0	0	3	0	upstream
DHDDS	21	0	0	21	0	upstream
DOLK	3	0	0	3	0	upstream
DOLPP1	10	0	0	10	0	upstream
DPAGT1	26	0	4	22	4	upstream
DPM1	10	0	0	10	0	upstream
DPM2	3	0	0	3	0	upstream
DPM3	6	0	0	6	0	upstream
FCSK	16	0	0	16	0	upstream
FPGT	8	0	0	8	0	upstream
GFPT1	21	0	0	21	0	upstream
GFPT2	36	0	0	36	0	upstream
GMDS	232	0	8	224	8	upstream
GMPPA	2	0	0	2	0	upstream
GMPPB	5	0	0	5	0	upstream
GNE	3	0	0	3	0	upstream
GNPNAT1	17	0	0	17	0	upstream
HK1	297	0	24	273	24	upstream
MAGT1	2	0	0	2	0	upstream
MPDU1	30	0	0	30	0	upstream
MPI	17	0	0	17	0	upstream
NAGK	20	0	6	14	6	upstream
NANP	1	0	0	1	0	upstream
NANS	9	0	2	7	2	upstream
NUS1	25	0	0	25	0	upstream
OST4	3	0	1	2	1	upstream
OSTC	2	0	0	2	0	upstream
PGM3	1	0	0	1	0	upstream
PMM1	11	0	0	11	0	upstream
PMM2	11	0	0	11	0	upstream
RFT1	101	0	5	96	5	upstream
RPN1	363	4	240	119	244	upstream
RPN2	16	0	0	16	0	upstream
SLC35A1	2	0	0	2	0	upstream
SLC35C1	15	0	0	15	0	upstream
SRD5A3	22	0	0	22	0	upstream
STT3A	7	0	1	6	1	upstream
STT3B	11	0	2	9	2	upstream
TMEM258	3623	1	31	3591	32	upstream
TUSC3	47	0	1	46	1	upstream
UAP1	5	0	1	4	1	upstream
